policy,job_id,site,node,queued_at,started_at,ended_at,submit,start,end,wait_s,runtime_s,queue_seconds,energy_kwh,energy_wh,carbon_kg,carbon_g,ci_cost,ci_cost_g,source
carbonscaler,15fb8c6a-93a4-4288-9c53-2890040f79f8,B,themis-control-plane,2025-11-18T12:34:25+00:00,2025-11-18T12:34:25+00:00,2025-11-18T12:34:44+00:00,2025-11-18T12:34:25+00:00,2025-11-18T12:34:25+00:00,2025-11-18T12:34:44+00:00,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,16d442cf-38e5-4e1f-87fa-dd2ee7a11ea9,B,themis-control-plane,2025-11-18T12:34:24+00:00,2025-11-18T12:34:25+00:00,2025-11-18T12:34:41+00:00,2025-11-18T12:34:24+00:00,2025-11-18T12:34:25+00:00,2025-11-18T12:34:41+00:00,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,23986ff6-cb1d-47e6-8495-286035c9e677,,hetsched-worker,2025-11-18T12:36:28+00:00,2025-11-18T12:36:36+00:00,2025-11-18T12:37:36+00:00,2025-11-18T12:36:28+00:00,2025-11-18T12:36:36+00:00,2025-11-18T12:37:36+00:00,8.0,60.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,247e28c9-e5bf-434e-9055-912f05f176fe,B,themis-control-plane,2025-11-18T12:34:26+00:00,2025-11-18T12:34:27+00:00,2025-11-18T12:34:46+00:00,2025-11-18T12:34:26+00:00,2025-11-18T12:34:27+00:00,2025-11-18T12:34:46+00:00,1.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,2738ef2d-2ab4-4e40-93ca-38385880cbfb,B,themis-control-plane,2025-11-18T12:34:50+00:00,2025-11-18T12:35:02+00:00,2025-11-18T12:36:02+00:00,2025-11-18T12:34:50+00:00,2025-11-18T12:35:02+00:00,2025-11-18T12:36:02+00:00,12.0,60.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,2c136d0c-5642-4b07-b38d-3ca90acf1ef8,B,themis-control-plane,2025-11-18T12:34:58+00:00,2025-11-18T12:35:12+00:00,2025-11-18T12:36:12+00:00,2025-11-18T12:34:58+00:00,2025-11-18T12:35:12+00:00,2025-11-18T12:36:12+00:00,14.0,60.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,2cb243c2-ab69-4d9a-ac18-b0ea0ca3e3c8,A,hetsched-worker,2025-11-18T12:34:45+00:00,2025-11-18T12:34:54+00:00,2025-11-18T12:35:54+00:00,2025-11-18T12:34:45+00:00,2025-11-18T12:34:54+00:00,2025-11-18T12:35:54+00:00,9.0,60.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,2d452c32-9c7f-4eef-96d7-85c421abf8ca,B,themis-control-plane,2025-11-18T12:34:26+00:00,2025-11-18T12:34:27+00:00,2025-11-18T12:34:45+00:00,2025-11-18T12:34:26+00:00,2025-11-18T12:34:27+00:00,2025-11-18T12:34:45+00:00,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,2f4de9b2-b82b-4f50-8098-fad42fdb0bee,,hetsched-worker2,2025-11-18T12:36:33+00:00,2025-11-18T12:36:47+00:00,2025-11-18T12:37:47+00:00,2025-11-18T12:36:33+00:00,2025-11-18T12:36:47+00:00,2025-11-18T12:37:47+00:00,14.0,60.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
carbonscaler,33f060a4-36a7-47c7-8e8e-299ad628eb03,A,hetsched-worker,2025-11-18T12:34:58+00:00,2025-11-18T12:35:13+00:00,2025-11-18T12:36:13+00:00,2025-11-18T12:34:58+00:00,2025-11-18T12:35:13+00:00,2025-11-18T12:36:13+00:00,15.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
