policy,job_id,site,node,queued_at,started_at,ended_at,submit,start,end,wait_s,runtime_s,queue_seconds,energy_kwh,energy_wh,carbon_kg,carbon_g,ci_cost,ci_cost_g,source
k8s,2f4de9b2-b82b-4f50-8098-fad42fdb0bee,C,hetsched-worker2,2025-11-18T12:36:33+00:00,2025-11-18T12:36:47+00:00,2025-11-18T12:37:47+00:00,2025-11-18T12:36:33+00:00,2025-11-18T12:36:47+00:00,2025-11-18T12:37:47+00:00,14.0,60.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,31af4ab6-11b4-4744-a996-c7c41ffa45c4,B,themis-control-plane,2025-11-18T12:37:09+00:00,2025-11-18T12:37:31+00:00,2025-11-18T12:37:52+00:00,2025-11-18T12:37:09+00:00,2025-11-18T12:37:31+00:00,2025-11-18T12:37:52+00:00,22.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,358ba937-1a3e-4728-8b8a-5b845fc94b1f,A,hetsched-worker,2025-11-18T12:36:25+00:00,2025-11-18T12:36:27+00:00,2025-11-18T12:37:27+00:00,2025-11-18T12:36:25+00:00,2025-11-18T12:36:27+00:00,2025-11-18T12:37:27+00:00,2.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,36bdfe06-156d-49f0-ab8a-ab84bd1670e9,B,themis-control-plane,2025-11-18T12:36:55+00:00,2025-11-18T12:37:05+00:00,2025-11-18T12:37:26+00:00,2025-11-18T12:36:55+00:00,2025-11-18T12:37:05+00:00,2025-11-18T12:37:26+00:00,10.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,389020ad-b2d5-40ca-8dfb-f928072b5344,A,hetsched-worker,2025-11-18T12:36:26+00:00,2025-11-18T12:36:30+00:00,2025-11-18T12:37:30+00:00,2025-11-18T12:36:26+00:00,2025-11-18T12:36:30+00:00,2025-11-18T12:37:30+00:00,4.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,38f13fb6-57f5-4832-ae88-1a9029aeb6bf,A,hetsched-worker,2025-11-18T12:36:34+00:00,2025-11-18T12:36:49+00:00,2025-11-18T12:37:49+00:00,2025-11-18T12:36:34+00:00,2025-11-18T12:36:49+00:00,2025-11-18T12:37:49+00:00,15.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,399ba9e7-676c-4953-b299-fdb54e670a48,C,hetsched-worker2,2025-11-18T12:36:39+00:00,2025-11-18T12:37:00+00:00,2025-11-18T12:38:00+00:00,2025-11-18T12:36:39+00:00,2025-11-18T12:37:00+00:00,2025-11-18T12:38:00+00:00,21.0,60.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,3a0de470-97da-4fa3-8789-70322b904d2a,B,themis-control-plane,2025-11-18T12:38:03+00:00,2025-11-18T12:38:03+00:00,2025-11-18T12:38:19+00:00,2025-11-18T12:38:03+00:00,2025-11-18T12:38:03+00:00,2025-11-18T12:38:19+00:00,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,3a8491ea-26aa-49f7-ae7d-f925de7f76ed,A,hetsched-worker,2025-11-18T12:36:27+00:00,2025-11-18T12:36:31+00:00,2025-11-18T12:37:31+00:00,2025-11-18T12:36:27+00:00,2025-11-18T12:36:31+00:00,2025-11-18T12:37:31+00:00,4.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,3be4b13f-2857-4c81-8584-5adef387eff3,C,hetsched-worker2,2025-11-18T12:36:17+00:00,2025-11-18T12:36:18+00:00,2025-11-18T12:37:18+00:00,2025-11-18T12:36:17+00:00,2025-11-18T12:36:18+00:00,2025-11-18T12:37:18+00:00,1.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,41f70cd1-61ff-4bdc-a112-defa461aae31,A,hetsched-worker,2025-11-18T12:36:32+00:00,2025-11-18T12:36:44+00:00,2025-11-18T12:37:44+00:00,2025-11-18T12:36:32+00:00,2025-11-18T12:36:44+00:00,2025-11-18T12:37:44+00:00,12.0,60.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,423cd179-30e3-4bc1-b728-17371dcee5f1,A,hetsched-worker,2025-11-18T12:36:29+00:00,2025-11-18T12:36:38+00:00,2025-11-18T12:37:38+00:00,2025-11-18T12:36:29+00:00,2025-11-18T12:36:38+00:00,2025-11-18T12:37:38+00:00,9.0,60.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,45794621-3e39-4a7a-84cd-a890e1c58c3f,A,hetsched-worker,2025-11-18T12:36:26+00:00,2025-11-18T12:36:29+00:00,2025-11-18T12:37:29+00:00,2025-11-18T12:36:26+00:00,2025-11-18T12:36:29+00:00,2025-11-18T12:37:29+00:00,3.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
